metdiv,inc_1,inc_2,inc_3,inc_4,Year
24580,33800,65000,96200,364000,1990
24620,23400,44200,75400,364000,1990
24640,33800,65000,96200,364000,1990
24660,33800,59800,96200,364000,1990
24700,33800,54600,91000,364000,1990
24740,15600,33800,70200,364000,1990
24780,23400,49400,85800,364000,1990
24820,33800,54600,85800,364000,1990
24860,28600,54600,91000,364000,1990
24900,15600,33800,65000,364000,1990
24940,23400,49400,80600,364000,1990
24980,15600,39000,70200,364000,1990
25060,23400,49400,80600,364000,1990
25100,23400,49400,80600,364000,1990
25180,33800,59800,91000,364000,1990
25200,33800,59800,96200,364000,1990
25220,15600,33800,65000,364000,1990
25260,28600,54600,85800,364000,1990
25300,23400,44200,70200,364000,1990
25420,39000,65000,101400,364000,1990
25460,15600,39000,65000,364000,1990
25500,33800,59800,91000,364000,1990
25540,49400,85800,140400,364000,1990
25580,28600,49400,80600,364000,1990
25620,15600,39000,75400,364000,1990
25700,23400,44200,80600,364000,1990
25720,28600,54600,85800,364000,1990
25740,28600,54600,85800,364000,1990
25760,15600,28600,49400,364000,1990
25780,23400,44200,75400,364000,1990
25820,23400,44200,75400,364000,1990
25840,23400,49400,75400,364000,1990
25860,33800,54600,85800,364000,1990
25880,28600,54600,80600,364000,1990
25900,33800,59800,101400,364000,1990
25940,28600,59800,96200,364000,1990
25980,28600,44200,70200,364000,1990
26020,23400,49400,80600,364000,1990
26090,33800,65000,96200,364000,1990
26140,23400,44200,75400,364000,1990
26220,28600,49400,80600,364000,1990
26260,15600,33800,59800,364000,1990
26300,23400,44200,70200,364000,1990
26340,15600,33800,65000,364000,1990
26380,23400,44200,75400,364000,1990
26420,33800,65000,109200,364000,1990
26460,33800,59800,96200,364000,1990
26500,23400,49400,75400,364000,1990
26540,33800,59800,91000,364000,1990
26580,23400,44200,80600,364000,1990
26620,33800,65000,109200,364000,1990
26660,15600,44200,75400,364000,1990
26700,23400,44200,70200,364000,1990
26740,28600,49400,80600,364000,1990
26780,33800,59800,91000,364000,1990
26820,33800,59800,96200,364000,1990
26860,23400,49400,80600,364000,1990
26900,33800,65000,101400,364000,1990
26940,15600,28600,59800,364000,1990
26960,33800,59800,91000,364000,1990
26980,28600,54600,96200,364000,1990
27020,23400,49400,85800,364000,1990
27060,28600,59800,96200,364000,1990
27100,33800,59800,96200,364000,1990
27140,23400,49400,85800,364000,1990
27160,15600,39000,70200,364000,1990
27180,23400,49400,80600,364000,1990
27220,39000,59800,96200,364000,1990
27260,33800,59800,96200,364000,1990
27300,28600,54600,80600,364000,1990
27340,28600,49400,75400,364000,1990
27380,15600,39000,70200,364000,1990
27420,23400,44200,75400,364000,1990
27460,23400,49400,80600,364000,1990
27500,33800,65000,96200,364000,1990
27540,33800,59800,91000,364000,1990
27600,28600,54600,80600,364000,1990
27620,33800,59800,91000,364000,1990
27660,15600,39000,65000,364000,1990
27700,23400,49400,80600,364000,1990
27740,23400,44200,75400,364000,1990
27780,23400,44200,75400,364000,1990
27860,23400,44200,70200,364000,1990
27900,23400,44200,70200,364000,1990
27920,28600,44200,70200,364000,1990
27940,59800,101400,140400,364000,1990
27980,44200,80600,119600,364000,1990
28020,33800,59800,101400,364000,1990
28060,23400,49400,80600,364000,1990
28100,28600,59800,91000,364000,1990
28140,33800,65000,101400,364000,1990
28180,44200,75400,119600,364000,1990
28260,28600,49400,80600,364000,1990
28300,39000,65000,101400,364000,1990
28340,33800,59800,91000,364000,1990
28380,15600,33800,59800,364000,1990
28420,33800,65000,101400,364000,1990
28500,28600,49400,80600,364000,1990
28540,54600,91000,140400,364000,1990
28580,33800,59800,101400,364000,1990
28620,33800,54600,91000,364000,1990
28660,28600,49400,80600,364000,1990
28700,23400,49400,80600,364000,1990
28740,39000,70200,109200,364000,1990
28780,15600,44200,85800,364000,1990
28820,15600,44200,75400,364000,1990
28860,15600,33800,65000,364000,1990
28900,23400,49400,75400,364000,1990
28940,23400,49400,85800,364000,1990
29020,33800,65000,101400,364000,1990
29060,39000,65000,101400,364000,1990
29100,28600,54600,85800,364000,1990
29180,15600,44200,75400,364000,1990
29200,28600,59800,91000,364000,1990
29260,23400,44200,75400,364000,1990
29300,23400,49400,85800,364000,1990
29340,23400,49400,85800,364000,1990
29380,23400,44200,75400,364000,1990
29404,49400,85800,140400,364000,1990
29420,28600,49400,80600,364000,1990
29460,28600,54600,85800,364000,1990
29500,15600,39000,70200,364000,1990
29540,39000,70200,101400,364000,1990
29620,33800,65000,109200,364000,1990
29660,23400,44200,80600,364000,1990
29700,15600,39000,70200,364000,1990
29740,23400,44200,75400,364000,1990
29780,15600,33800,65000,364000,1990
29820,33800,65000,101400,364000,1990
29860,15600,39000,70200,364000,1990
29900,23400,44200,80600,364000,1990
29940,23400,54600,91000,364000,1990
29980,23400,44200,70200,364000,1990
30020,28600,49400,80600,364000,1990
30060,23400,39000,65000,364000,1990
