metdiv,Year,inc_1,inc_2,inc_3,inc_4
18860,1990,23400,49400,80600,364000
18880,1990,33800,54600,85800,364000
18900,1990,23400,44200,65000,364000
18980,1990,23400,44200,75400,364000
19000,1990,23400,44200,75400,364000
19060,1990,23400,44200,75400,364000
19124,1990,39000,70200,109200,364000
19140,1990,33800,54600,85800,364000
19180,1990,23400,49400,85800,364000
19220,1990,15600,44200,75400,364000
19260,1990,23400,49400,80600,364000
19300,1990,28600,54600,91000,364000
19340,1990,28600,59800,96200,364000
19380,1990,33800,65000,101400,364000
19420,1990,15600,39000,70200,364000
19460,1990,28600,54600,91000,364000
19500,1990,28600,59800,96200,364000
19540,1990,33800,59800,85800,364000
19580,1990,33800,65000,96200,364000
19620,1990,15600,39000,70200,364000
19660,1990,28600,54600,85800,364000
19700,1990,15600,28600,54600,364000
19740,1990,39000,70200,109200,364000
19760,1990,23400,44200,80600,364000
19780,1990,33800,65000,101400,364000
19804,1990,23400,59800,101400,364000
19860,1990,23400,44200,75400,364000
19940,1990,33800,59800,85800,364000
19980,1990,28600,49400,85800,364000
20020,1990,23400,49400,80600,364000
20060,1990,15600,44200,75400,364000
20100,1990,33800,59800,96200,364000
20140,1990,15600,44200,75400,364000
20180,1990,23400,44200,75400,364000
20220,1990,33800,59800,91000,364000
20260,1990,23400,49400,80600,364000
20300,1990,33800,54600,85800,364000
20340,1990,15600,44200,75400,364000
20380,1990,23400,44200,75400,364000
20420,1990,28600,54600,85800,364000
20460,1990,15600,33800,65000,364000
20500,1990,33800,59800,101400,364000
20524,1990,54600,96200,140400,364000
20540,1990,23400,44200,80600,364000
20580,1990,15600,23400,44200,364000
20660,1990,33800,65000,109200,364000
20700,1990,39000,65000,101400,364000
20740,1990,28600,54600,85800,364000
20780,1990,49400,75400,109200,364000
20820,1990,28600,54600,85800,364000
20900,1990,23400,49400,80600,364000
20940,1990,23400,44200,80600,364000
20980,1990,15600,44200,75400,364000
20994,1990,44200,80600,119600,364000
21020,1990,23400,44200,75400,364000
21060,1990,28600,49400,80600,364000
21120,1990,15600,39000,70200,364000
21140,1990,39000,65000,96200,364000
21180,1990,15600,39000,65000,364000
21220,1990,39000,70200,109200,364000
21260,1990,15600,44200,75400,364000
21300,1990,28600,54600,85800,364000
21340,1990,23400,49400,80600,364000
21380,1990,23400,49400,80600,364000
21420,1990,23400,49400,75400,364000
21460,1990,23400,49400,85800,364000
21500,1990,28600,54600,85800,364000
21540,1990,23400,49400,80600,364000
21580,1990,15600,39000,70200,364000
21640,1990,15600,39000,70200,364000
21660,1990,28600,54600,85800,364000
21700,1990,23400,49400,85800,364000
21740,1990,39000,70200,96200,364000
21780,1990,28600,54600,91000,364000
21820,1990,44200,75400,140400,364000
21840,1990,23400,44200,75400,364000
21860,1990,28600,49400,75400,364000
21900,1990,15600,44200,75400,364000
21980,1990,33800,59800,91000,364000
22020,1990,28600,54600,85800,364000
22060,1990,33800,59800,96200,364000
22100,1990,23400,44200,70200,364000
22140,1990,15600,44200,80600,364000
22180,1990,28600,54600,85800,364000
22220,1990,28600,49400,80600,364000
22260,1990,23400,44200,75400,364000
22280,1990,28600,49400,85800,364000
22300,1990,39000,65000,101400,364000
22340,1990,15600,39000,70200,364000
22380,1990,23400,54600,91000,364000
22420,1990,28600,65000,109200,364000
22500,1990,23400,49400,85800,364000
22520,1990,23400,49400,85800,364000
22540,1990,33800,59800,91000,364000
22580,1990,23400,49400,75400,364000
22620,1990,15600,28600,59800,364000
22660,1990,33800,59800,101400,364000
22700,1990,28600,49400,75400,364000
22744,1990,33800,65000,109200,364000
22780,1990,28600,44200,65000,364000
22800,1990,23400,49400,80600,364000
22820,1990,23400,44200,75400,364000
22840,1990,15600,39000,70200,364000
22860,1990,23400,39000,65000,364000
22900,1990,23400,44200,75400,364000
23060,1990,39000,65000,101400,364000
23104,1990,39000,65000,109200,364000
23140,1990,28600,54600,85800,364000
23180,1990,33800,54600,91000,364000
23240,1990,23400,49400,75400,364000
23300,1990,33800,59800,91000,364000
23340,1990,28600,49400,75400,364000
23380,1990,33800,59800,91000,364000
23420,1990,28600,54600,91000,364000
23460,1990,23400,44200,80600,364000
23500,1990,23400,49400,80600,364000
23540,1990,23400,44200,85800,364000
23580,1990,33800,59800,96200,364000
23620,1990,23400,49400,85800,364000
23660,1990,23400,49400,80600,364000
23700,1990,15600,33800,65000,364000
23780,1990,33800,59800,85800,364000
23820,1990,44200,70200,109200,364000
23844,1990,33800,65000,101400,364000
23860,1990,23400,49400,85800,364000
23900,1990,39000,65000,91000,364000
23940,1990,44200,75400,109200,364000
23980,1990,15600,39000,65000,364000
24020,1990,33800,59800,96200,364000
24060,1990,39000,65000,101400,364000
24100,1990,23400,49400,80600,364000
24140,1990,23400,49400,75400,364000
24220,1990,28600,49400,80600,364000
24260,1990,28600,49400,80600,364000
24300,1990,28600,49400,80600,364000
24330,1990,23400,44200,80600,364000
24340,1990,39000,70200,101400,364000
24380,1990,15600,33800,59800,364000
24420,1990,23400,44200,70200,364000
24460,1990,28600,49400,75400,364000
24500,1990,28600,49400,80600,364000
24540,1990,28600,54600,85800,364000
24580,1990,33800,65000,96200,364000
24620,1990,23400,44200,75400,364000
24640,1990,33800,65000,96200,364000
24660,1990,33800,59800,96200,364000
24700,1990,33800,54600,91000,364000
24740,1990,15600,33800,70200,364000
24780,1990,23400,49400,85800,364000
24820,1990,33800,54600,85800,364000
24860,1990,28600,54600,91000,364000
24900,1990,15600,33800,65000,364000
24940,1990,23400,49400,80600,364000
24980,1990,15600,39000,70200,364000
25020,1990,NA,NA,NA,NA
25060,1990,23400,49400,80600,364000
25100,1990,23400,49400,80600,364000
25180,1990,33800,59800,91000,364000
25200,1990,33800,59800,96200,364000
25220,1990,15600,33800,65000,364000
25260,1990,28600,54600,85800,364000
25300,1990,23400,44200,70200,364000
25420,1990,39000,65000,101400,364000
25460,1990,15600,39000,65000,364000
25500,1990,33800,59800,91000,364000
